system:index,B11,B12,B2,B3,B4,B8,label,.geo
0,1866.0,1252.0,560.0,766.0,663.0,2411.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.17198246114468238,48.019398596844816]}"
1,1866.0,1252.0,266.0,432.5,342.0,2038.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.08304924801684976,48.03125635859519]}"
2,1866.0,1252.0,258.0,359.5,294.5,1982.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.3223604397062903,48.071051725681684]}"
3,1866.0,1252.0,337.5,542.0,461.5,3545.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.2751988872900154,48.000533975878305]}"
4,1866.0,1252.0,380.0,639.0,511.0,3278.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.30403480791025206,48.087580726909486]}"
5,1866.0,1252.0,288.0,467.0,446.0,2702.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.2679225334886473,48.03350214680549]}"
6,1866.0,1252.0,513.0,706.0,688.0,1957.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.2575020761928608,48.03143602165202]}"
7,1866.0,1252.0,410.0,692.0,624.0,3591.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.2085438932083469,48.04365310951604]}"
8,1866.0,1252.0,408.0,625.0,538.0,2822.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.16704172708202503,48.01544600959469]}"
9,1866.0,1252.0,401.0,644.5,590.5,3477.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.12706669693870631,48.02999871719742]}"
10,1866.0,1252.0,312.0,556.0,377.0,3459.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.22480339985091025,48.029369896498544]}"
11,1866.0,1252.0,317.5,566.5,406.0,3313.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.15401615546229197,48.03529877737373]}"
12,1866.0,1252.0,367.0,521.0,579.5,2342.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.283553219432327,48.00538487841255]}"
13,1866.0,1252.0,615.0,819.0,948.0,2868.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.16335863441713497,48.03377164139073]}"
14,1866.0,1252.0,279.5,398.5,446.5,1868.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.2586698860622162,48.067727959130444]}"
15,1866.0,1252.0,442.0,754.0,657.0,3400.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.15365682934864414,48.05982278463019]}"
16,1866.0,1252.0,294.0,537.0,420.0,2453.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.18689449486106643,48.0831789820173]}"
17,1866.0,1252.0,433.0,680.0,673.0,2617.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.19866242508303217,48.01499685195263]}"
18,1866.0,1252.0,300.0,486.5,368.0,3092.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.0993087546594131,48.00080347046354]}"
19,1866.0,1252.0,270.0,546.0,399.0,3257.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.2123168174016489,48.029100401913304]}"
20,1866.0,1252.0,276.5,435.0,335.0,1031.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.1828520760825286,48.081562014505884]}"
21,1866.0,1252.0,245.5,439.5,360.0,2447.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.18554702193488717,48.03143602165202]}"
22,1866.0,1252.0,495.0,691.5,679.5,2140.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.13596001825148957,48.06027194227225]}"
23,1866.0,1252.0,291.5,469.0,313.5,2881.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.28112776816520424,48.04086833213527]}"
24,1866.0,1252.0,227.0,417.0,250.0,2519.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.25336982588591106,48.016523987935635]}"
25,1866.0,1252.0,318.5,456.0,333.0,1347.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.2879549643245126,48.0298190541406]}"
26,1866.0,1252.0,255.0,535.0,344.0,3687.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.08152211203384657,48.01867994461752]}"
27,1866.0,1252.0,218.0,364.0,256.0,2351.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.23603234090240427,48.08272982437524]}"
28,1866.0,1252.0,417.0,719.0,683.0,4111.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.08727132985221152,48.003139090202254]}"
29,1866.0,1252.0,332.0,545.5,473.5,2530.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.14449401345062504,48.08210100367636]}"
30,1866.0,1252.0,340.5,482.5,327.0,2120.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.2611851688577509,48.0034984163159]}"
31,1866.0,1252.0,594.0,896.0,791.0,3344.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.3092450365581453,48.06970425275551]}"
32,1866.0,1252.0,426.5,672.5,490.5,2887.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.2226474431690234,48.01373921055486]}"
33,1866.0,1252.0,285.0,388.5,325.0,2072.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.06517277386287128,48.036017429601024]}"
34,1866.0,1252.0,351.0,602.0,439.0,3122.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.30448396555231183,48.02335118409494]}"
35,1866.0,1252.0,313.5,537.0,485.0,3320.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.0658914260901669,48.00825948732173]}"
36,1866.0,1252.0,303.0,400.0,385.0,1823.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.16668240096837722,48.079406057824]}"
37,1866.0,1252.0,326.0,530.5,522.5,2154.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.3262231954280042,48.058924469346074]}"
38,1866.0,1252.0,207.5,299.5,232.5,2197.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.13596001825148957,48.04661754995364]}"
39,1866.0,1252.0,401.0,739.0,618.0,3664.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.27654636021619466,48.042485299646685]}"
40,1866.0,1252.0,537.0,707.0,740.0,2395.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.2104303553049979,48.028202086629186]}"
41,1866.0,1252.0,291.0,451.0,541.0,2193.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.21932367661778118,48.083268813545715]}"
42,1866.0,1252.0,539.0,670.0,677.0,1992.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.22686952500438515,48.00825948732173]}"
43,1866.0,1252.0,1558.0,1732.0,1548.0,4197.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.14889575834281069,48.06170924672684]}"
44,1866.0,1252.0,330.0,577.0,506.0,3066.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.1415295730130306,48.02101556435623]}"
